room,use,status_current,area_sqm,area_tsubo,cur_rent,cur_common,cur_rent_plus_common,cur_deposit,cur_deposit_months,cur_orig_start,cur_contract_start,cur_contract_end,cur_remarks,ups_status,ups_rent,ups_common,ups_rent_plus_common
1F,shop,occupied,74.23,22.45,466667,0,466667,3079998,6.6,2022-04-01,2024-04-01,2026-03-31,"rent excl. consumption tax; +46,666 tax",occupied,680000,0,680000
201,resi,occupied,25.97,7.85,148000,14000,162000,,0.0,2025-01-12,2025-01-12,2027-01-11,,occupied,156000,20000,176000
202,resi,occupied,24.18,7.31,112000,14000,126000,0,0.0,2020-11-12,2022-11-12,2024-11-11,,occupied,150000,20000,170000
203,resi,vacant,30.44,9.20,190000,20000,210000,0,0.0,,,,recruiting,vacant,190000,20000,210000
301,resi,occupied,25.97,7.85,151000,14000,165000,0,0.0,2017-04-22,2025-04-21,2027-04-20,"+41,300 at renewal",occupied,156000,20000,176000
302,resi,occupied,24.18,7.31,125000,14000,139000,0,0.0,2024-08-03,2024-08-03,2026-08-02,,occupied,150000,20000,170000
303,resi,occupied,30.44,9.20,122000,10000,132000,122000,1.0,2013-08-15,2023-08-15,2025-08-14,,occupied,190000,20000,210000
401,resi,occupied,25.97,7.85,113000,10000,123000,111000,0.0,2013-08-01,2023-08-01,2025-07-31,,occupied,161000,20000,181000
402,resi,occupied,24.18,7.31,155000,20000,175000,0,0.0,2025-12-25,2025-12-25,2027-12-24,,occupied,155000,20000,175000
403,resi,occupied,30.44,9.20,174000,20000,194000,174000,0.0,2025-11-16,2025-11-16,2027-11-15,,occupied,190000,20000,210000
501,resi,occupied,25.97,7.85,137000,14000,151000,0,0.0,2021-09-05,2025-09-05,2027-09-04,"+20,500 at renewal",occupied,161000,20000,181000
502,resi,occupied,24.18,7.31,141000,14000,155000,0,0.0,2025-01-12,2025-01-12,2027-01-11,,occupied,150000,20000,170000
503,resi,occupied,30.44,9.20,135000,11500,146500,0,0.0,2023-09-03,2023-09-01,2025-09-02,,occupied,190000,20000,210000
601,resi,occupied,25.97,7.85,156000,14000,170000,0,0.0,2015-03-14,2025-03-14,2027-03-13,"+37,000 at renewal",occupied,161000,20000,181000
602,resi,occupied,24.18,7.31,144000,14000,158000,0,0.0,2021-03-30,2025-03-10,2027-03-09,"+27,000 at renewal",occupied,150000,20000,170000
603,resi,vacant,30.44,9.20,190000,20000,210000,0,0.0,,,,recruiting,vacant,190000,20000,210000
701,resi,occupied,25.97,7.85,161000,14000,175000,0,0.0,2022-06-30,2024-06-30,2026-06-29,"from 2026-02-01: 175,000",occupied,161000,14000,175000
702,resi,occupied,24.18,7.31,119000,14000,133000,0,0.0,2020-09-09,2024-09-09,2026-09-08,,occupied,150000,20000,170000
703,resi,occupied,30.44,9.20,151000,14000,165000,0,0.0,2021-08-31,2025-08-31,2027-08-30,"+20,500 at renewal",occupied,195000,20000,215000
801,resi,vacant,23.22,7.02,155000,20000,175000,0,0.0,,,,recruiting,vacant,155000,20000,175000
802,resi,occupied,24.18,7.31,149000,14000,163000,0,0.0,2024-02-26,2024-02-26,2026-02-25,"from 2026-02-01: 163,000",occupied,149000,14000,163000
803,resi,vacant,30.44,9.20,195000,20000,215000,0,0.0,,,,recruiting,vacant,195000,20000,215000
901,resi,vacant,76.91,23.26,494000,20000,514000,0,0.0,,,,recruiting,vacant,494000,20000,514000
